timestamp,region,country,language,script,suffix,average_representativeness
2026-01-08 03:17:46,SEA,sg,ta,evaluate_model_noCoT.py,_noCoT,0.9433344191653315
2026-01-08 03:17:55,SEA,th,en,evaluate_model_noCoT.py,_noCoT,0.9323136808438082
2026-01-08 03:18:03,SEA,sl,en,evaluate_model_noCoT.py,_noCoT,0.9393550089575609
2026-01-08 03:18:11,SEA,sg,en,evaluate_model_noCoT.py,_noCoT,0.9330048739050683
2026-01-08 03:18:20,SEA,sl,si,evaluate_model_noCoT.py,_noCoT,0.963984078727774
2026-01-08 03:18:28,SEA,sg,ma,evaluate_model_noCoT.py,_noCoT,0.9409053060591693
2026-01-08 03:18:36,SEA,sl,ta,evaluate_model_noCoT.py,_noCoT,0.9555287344604277
2026-01-08 03:18:45,SEA,ca,km,evaluate_model_noCoT.py,_noCoT,0.9500461417357682
2026-01-08 03:18:53,SEA,ca,en,evaluate_model_noCoT.py,_noCoT,0.9324995040594842
2026-01-08 03:19:01,SEA,id,en,evaluate_model_noCoT.py,_noCoT,0.935585184146712
2026-01-08 03:19:09,SEA,ms,zh,evaluate_model_noCoT.py,_noCoT,0.9390172649044773
2026-01-08 03:19:17,SEA,ms,en,evaluate_model_noCoT.py,_noCoT,0.9336773369954574
2026-01-08 03:19:26,SEA,ms,ma,evaluate_model_noCoT.py,_noCoT,0.9468366218585558
2026-01-08 03:19:34,SEA,sg,zh,evaluate_model_noCoT.py,_noCoT,0.939446715795585
2026-01-08 03:19:42,SEA,th,th,evaluate_model_noCoT.py,_noCoT,0.947826576624865
2026-01-08 03:19:51,SEA,id,id,evaluate_model_noCoT.py,_noCoT,0.9518626516175948
2026-01-08 03:19:58,EA,ko,ko,evaluate_model_noCoT.py,_noCoT,0.9518798778967202
2026-01-08 03:20:06,EA,vi,vi,evaluate_model_noCoT.py,_noCoT,0.9464775174909044
2026-01-08 03:20:14,EA,hk,en,evaluate_model_noCoT.py,_noCoT,0.9468181635705752
2026-01-08 03:20:22,EA,tw,zh,evaluate_model_noCoT.py,_noCoT,0.9534013178910286
2026-01-08 03:20:30,EA,tw,en,evaluate_model_noCoT.py,_noCoT,0.943548141962027
2026-01-08 03:20:38,EA,hk,zh,evaluate_model_noCoT.py,_noCoT,0.9551351769002783
2026-01-08 03:20:46,EA,jp,en,evaluate_model_noCoT.py,_noCoT,0.9413307659324038
2026-01-08 03:20:54,EA,jp,ja,evaluate_model_noCoT.py,_noCoT,0.9438637193889876
2026-01-08 03:21:01,EA,vi,en,evaluate_model_noCoT.py,_noCoT,0.9393864213890948
2026-01-08 03:21:09,EA,ko,en,evaluate_model_noCoT.py,_noCoT,0.9444310879211605
2026-01-08 03:21:23,IND,ind,en,evaluate_model_noCoT.py,_noCoT,0.9200681290752571
2026-01-08 03:21:37,IND,ind,hi,evaluate_model_noCoT.py,_noCoT,0.9217604254071282
